                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                  1.154,                0.90744,                 1.7373,                      1,                0.83431,                 0.9569,                0.66981,                 1.1692,                0.95953,                 1.6734,              0.0018178,              0.0018178,              0.0018178
                     94,                 1.1491,                0.86928,                 1.7109,                0.86337,                0.92308,                0.90001,                0.57443,                 1.2571,                 1.8365,                 1.8437,              0.0018159,              0.0018159,              0.0018159
                     95,                 1.1518,                0.88963,                 1.7267,                0.91711,                0.85142,                0.92133,                0.58336,                 1.4052,                 1.3419,                  1.908,              0.0018139,              0.0018139,              0.0018139
                     96,                 1.1463,                0.87322,                 1.7237,                      1,                0.81413,                0.94522,                0.65553,                 1.2125,                 1.0191,                 1.8017,              0.0018119,              0.0018119,              0.0018119
                     97,                 1.1697,                0.78698,                 1.7318,                0.75077,                0.92712,                0.89548,                0.64512,                 1.1648,                 0.9539,                 1.7646,              0.0018099,              0.0018099,              0.0018099
                     98,                 1.1334,                0.81791,                 1.7147,                0.97324,                0.92308,                 0.9587,                0.64936,                  1.284,                 1.5195,                 1.8095,              0.0018079,              0.0018079,              0.0018079
                     99,                 1.1611,                0.86511,                 1.6958,                0.77438,                0.92308,                0.91785,                0.64052,                 1.2256,                 1.9385,                 1.7725,               0.001806,               0.001806,               0.001806
                    100,                  1.137,                0.81618,                 1.7122,                      1,                0.90156,                0.97556,                 0.7167,                 1.1402,                 1.4485,                 1.6748,               0.001804,               0.001804,               0.001804
                    101,                 1.1209,                0.82561,                 1.6723,                0.98335,                0.92308,                   0.99,                0.70471,                 1.1991,                0.89294,                 1.7282,               0.001802,               0.001802,               0.001802
                    102,                 1.0265,                0.82248,                 1.6001,                0.91139,                0.92308,                 0.9694,                0.65071,                    1.3,                0.86345,                 1.7919,                 0.0018,                 0.0018,                 0.0018
                    103,                  1.127,                0.78844,                 1.6499,                0.92411,                0.93756,                   0.99,                0.78529,                 1.0494,                0.75665,                 1.5907,               0.001798,               0.001798,               0.001798
                    104,                 1.0732,                0.78822,                  1.639,                0.98468,                0.92308,                0.96636,                0.74367,                 1.0383,                0.95311,                 1.5653,              0.0017961,              0.0017961,              0.0017961
                    105,                  1.101,                0.79089,                 1.6341,                 0.9952,                0.92308,                 0.9587,                0.72742,                 1.1244,                0.83022,                 1.6909,              0.0017941,              0.0017941,              0.0017941
                    106,                0.97391,                 0.7162,                 1.5724,                0.98458,                0.84615,                0.94218,                0.68726,                 1.1103,                0.83475,                 1.7178,              0.0017921,              0.0017921,              0.0017921
                    107,                  1.069,                0.76041,                 1.6169,                0.98618,                0.92308,                 0.9614,                0.67354,                 1.2326,                  0.868,                  1.696,              0.0017901,              0.0017901,              0.0017901
                    108,                 1.0811,                0.82531,                  1.637,                0.97651,                0.92308,                 0.9614,                0.70781,                 1.0589,                0.78867,                  1.542,              0.0017881,              0.0017881,              0.0017881
                    109,                 1.1052,                0.80869,                 1.6427,                0.98635,                0.92308,                0.95258,                0.68665,                  1.182,                 1.0537,                 1.6759,              0.0017862,              0.0017862,              0.0017862
                    110,                 1.0562,                0.74734,                 1.6238,                      1,                0.90925,                0.92827,                0.59018,                 1.3264,                 1.3173,                 1.7022,              0.0017842,              0.0017842,              0.0017842
                    111,                 1.1499,                0.80519,                 1.6468,                 0.9225,                0.91612,                0.92194,                0.63909,                 1.1997,                 1.0991,                 1.6459,              0.0017822,              0.0017822,              0.0017822
                    112,                 1.0291,                0.77937,                 1.5911,                0.99016,                0.92308,                0.92975,                0.72359,                 1.0855,                0.97124,                  1.602,              0.0017802,              0.0017802,              0.0017802
                    113,                 1.0743,                0.80446,                 1.6027,                0.98361,                0.92308,                0.96636,                0.76873,                0.90842,                0.73027,                 1.4273,              0.0017782,              0.0017782,              0.0017782
                    114,                 1.0838,                0.79096,                 1.5764,                0.98984,                0.92308,                0.98567,                0.73986,                0.98417,                0.70092,                 1.4755,              0.0017763,              0.0017763,              0.0017763
                    115,                 1.0069,                0.76545,                  1.558,                0.99314,                0.84615,                0.92982,                0.67112,                  1.343,                0.92294,                 1.8277,              0.0017743,              0.0017743,              0.0017743
                    116,                  1.144,                0.80682,                 1.6314,                      1,                0.84235,                0.93638,                0.67727,                 1.1969,                0.92538,                 1.6458,              0.0017723,              0.0017723,              0.0017723
                    117,                 1.0324,                0.76631,                 1.5882,                0.99206,                0.92308,                0.92604,                0.70763,                 1.0549,                  1.118,                 1.5761,              0.0017703,              0.0017703,              0.0017703
                    118,                0.91352,                0.70234,                 1.5015,                0.98349,                0.84615,                0.91765,                0.76465,                0.84472,                0.89501,                 1.4492,              0.0017683,              0.0017683,              0.0017683
                    119,                 0.9023,                0.72425,                 1.4745,                 0.9748,                0.92308,                 0.9587,                0.77292,                0.86835,                0.74314,                 1.4066,              0.0017664,              0.0017664,              0.0017664
                    120,                0.92998,                0.68091,                 1.5009,                0.97879,                0.92308,                0.97289,                0.73372,                 1.0013,                0.73272,                 1.5064,              0.0017644,              0.0017644,              0.0017644
                    121,                 0.9849,                0.72089,                 1.5563,                0.98017,                0.92308,                0.96292,                0.68461,                 1.1216,                0.98008,                 1.6322,              0.0017624,              0.0017624,              0.0017624
                    122,                0.95866,                0.71155,                 1.5019,                  0.979,                0.92308,                0.95533,                 0.7595,                0.95263,                0.88377,                 1.4535,              0.0017604,              0.0017604,              0.0017604
                    123,                0.90391,                0.68282,                 1.4719,                0.99436,                0.92308,                 0.9575,                0.76055,                0.93698,                0.69128,                 1.4391,              0.0017584,              0.0017584,              0.0017584
                    124,                 1.0034,                0.75866,                 1.5345,                0.88035,                0.84615,                0.92565,                0.67189,                  1.024,                0.91077,                 1.5323,              0.0017565,              0.0017565,              0.0017565
                    125,                 1.0181,                0.71993,                 1.5564,                      1,                0.99758,                  0.995,                0.70835,                 1.0617,                0.74551,                 1.5778,              0.0017545,              0.0017545,              0.0017545
                    126,                 1.0224,                0.73177,                 1.5616,                      1,                 0.9998,                  0.995,                0.76079,                0.95589,                0.79136,                 1.4803,              0.0017525,              0.0017525,              0.0017525
                    127,                0.93932,                0.72749,                 1.5152,                0.95156,                0.92308,                0.97556,                0.75601,                0.93943,                0.83596,                 1.4449,              0.0017505,              0.0017505,              0.0017505
                    128,                 1.0044,                  0.788,                 1.5596,                 0.8079,                0.92308,                0.94764,                0.73318,                0.98345,                0.78799,                 1.4454,              0.0017485,              0.0017485,              0.0017485
                    129,                 0.9807,                0.73054,                 1.5521,                0.80175,                      1,                0.95902,                0.74607,                 1.0098,                0.71547,                 1.4797,              0.0017466,              0.0017466,              0.0017466
                    130,                0.95804,                0.72279,                 1.4956,                0.96333,                0.92308,                0.96636,                0.72001,                 1.0269,                0.94328,                 1.5111,              0.0017446,              0.0017446,              0.0017446
                    131,                0.90462,                0.71599,                 1.4795,                0.89223,                0.92308,                0.98567,                 0.7369,                0.94027,                0.87059,                  1.386,              0.0017426,              0.0017426,              0.0017426
                    132,                 0.9233,                0.75235,                 1.4696,                0.92686,                0.97599,                   0.99,                0.74935,                0.95956,                0.86488,                 1.4145,              0.0017406,              0.0017406,              0.0017406
                    133,                0.96291,                0.72862,                 1.5229,                0.92614,                0.92308,                0.97556,                0.75249,                0.94334,                  0.674,                 1.4026,              0.0017386,              0.0017386,              0.0017386
                    134,                0.95543,                0.71682,                 1.4878,                0.98905,                0.92308,                0.94833,                0.72961,                0.89068,                0.93384,                 1.4349,              0.0017367,              0.0017367,              0.0017367
                    135,                0.91915,                0.67802,                 1.4887,                0.98229,                0.92308,                0.93228,                0.71486,                0.98133,                0.96203,                 1.5169,              0.0017347,              0.0017347,              0.0017347
                    136,                0.90755,                0.66548,                 1.4363,                0.98957,                0.92308,                0.97289,                0.73385,                0.93516,                0.67443,                 1.4028,              0.0017327,              0.0017327,              0.0017327
                    137,                0.87389,                0.65724,                 1.4508,                0.96854,                0.92308,                0.97556,                0.68914,                 1.1779,                0.76132,                 1.6248,              0.0017307,              0.0017307,              0.0017307
                    138,                0.95744,                0.64804,                 1.4792,                0.91777,                      1,                0.97357,                0.73021,                0.99641,                0.64755,                 1.4858,              0.0017287,              0.0017287,              0.0017287
                    139,                0.87281,                0.64151,                 1.4073,                0.98834,                      1,                  0.995,                0.74995,                  0.928,                0.62921,                 1.4005,              0.0017268,              0.0017268,              0.0017268
                    140,                0.90444,                0.64658,                 1.4376,                0.99841,                      1,                  0.995,                0.75839,                0.97054,                 0.6551,                 1.4592,              0.0017248,              0.0017248,              0.0017248
                    141,                0.84796,                0.65731,                 1.4477,                      1,                 0.9891,                  0.995,                0.81067,                0.91597,                0.60895,                  1.436,              0.0017228,              0.0017228,              0.0017228
                    142,                0.92011,                 0.7055,                 1.4739,                0.98476,                      1,                  0.995,                0.82202,                 0.8307,                0.67056,                 1.3216,              0.0017208,              0.0017208,              0.0017208
                    143,                0.87319,                0.64134,                 1.4172,                0.77599,                0.92308,                0.91946,                0.72774,                0.85782,                0.70133,                 1.3429,              0.0017188,              0.0017188,              0.0017188
                    144,                0.84021,                0.62694,                 1.4211,                0.98521,                0.92308,                0.97289,                0.80385,                0.85922,                 0.6371,                 1.3259,              0.0017169,              0.0017169,              0.0017169
                    145,                0.82783,                0.61163,                 1.3913,                0.86542,                      1,                0.98429,                 0.7507,                0.92161,                0.64635,                 1.3849,              0.0017149,              0.0017149,              0.0017149
                    146,                0.87063,                0.63807,                 1.4403,                0.97193,                0.92308,                0.96636,                0.66984,                 1.2477,                0.87196,                 1.6785,              0.0017129,              0.0017129,              0.0017129
                    147,                0.83584,                0.62594,                 1.3634,                      1,                0.99804,                  0.995,                0.78216,                0.90439,                0.53996,                 1.3279,              0.0017109,              0.0017109,              0.0017109
